Date,Open,High,Low,Close,Volume,Adj Close
2012-07-13,5608.30,5675.60,5608.30,5666.10,609268500,5666.10
2012-07-12,5664.50,5664.50,5588.80,5608.30,667049300,5608.30
2012-07-11,5664.10,5674.70,5625.60,5664.50,606669000,5664.50
2012-07-10,5627.30,5688.70,5622.30,5664.10,607970100,5664.10
2012-07-09,5662.60,5669.80,5610.70,5627.30,682352500,5627.30
2012-07-06,5692.60,5695.10,5647.50,5662.60,602832000,5662.60
2012-07-05,5684.50,5727.50,5662.50,5692.60,766719300,5692.60
2012-07-04,5687.70,5699.90,5669.70,5684.50,445463400,5684.50
2012-07-03,5640.60,5689.00,5636.10,5687.70,795293400,5687.70
2012-07-02,5571.20,5640.60,5571.20,5640.60,696936400,5640.60
2012-06-29,5493.10,5619.70,5493.10,5571.20,1061581800,5571.20
2012-06-28,5523.90,5533.80,5436.50,5493.10,1027922600,5493.10
2012-06-27,5447.00,5525.10,5447.00,5523.90,678486600,5523.90
2012-06-26,5450.70,5476.50,5436.30,5447.00,631700600,5447.00
2012-06-25,5513.70,5513.70,5435.50,5450.70,716161000,5450.70
2012-06-22,5566.40,5566.40,5500.00,5513.70,677911200,5513.70
2012-06-21,5622.30,5622.30,5564.80,5566.40,785237400,5566.40
2012-06-20,5586.30,5623.90,5566.00,5622.30,903447000,5622.30
2012-06-19,5491.10,5603.10,5491.00,5586.30,816800600,5586.30
2012-06-18,5478.80,5555.30,5461.10,5491.10,879532400,5491.10
2012-06-15,5467.10,5522.90,5465.10,5478.80,2307095200,5478.80
2012-06-14,5483.80,5483.80,5424.40,5467.10,985630700,5467.10
2012-06-13,5473.70,5507.70,5436.70,5483.80,831010500,5483.80
2012-06-12,5432.40,5478.60,5414.60,5473.70,890749100,5473.70
2012-06-11,5435.10,5536.30,5419.60,5432.40,950512200,5432.40
2012-06-08,5447.80,5447.80,5381.80,5435.10,916402400,5435.10
2012-06-07,5384.10,5494.50,5384.10,5447.80,1030125200,5447.80
2012-06-06,5260.20,5388.00,5260.20,5384.10,1098347700,5384.10
2012-06-05,5260.20,5260.20,5260.20,5260.20,000,5260.20
2012-06-04,5260.20,5260.20,5260.20,5260.20,000,5260.20
2012-06-01,5320.90,5354.50,5229.80,5260.20,1056087800,5260.20
2012-05-31,5297.30,5352.10,5272.70,5320.90,1398519800,5320.90
2012-05-30,5391.10,5391.10,5284.40,5297.30,863484700,5297.30
2012-05-29,5356.30,5404.70,5342.50,5391.10,729588100,5391.10
2012-05-28,5351.50,5413.80,5341.30,5356.30,510686600,5356.30
2012-05-25,5350.10,5385.20,5312.20,5351.50,734363700,5351.50
2012-05-24,5266.40,5371.80,5266.40,5350.10,737282500,5350.10
2012-05-23,5403.30,5403.70,5262.90,5266.40,997826100,5266.40
2012-05-22,5304.50,5408.70,5304.50,5403.30,931864300,5403.30
2012-05-21,5267.60,5324.40,5253.90,5304.50,914314900,5304.50
2012-05-18,5338.40,5338.40,5256.60,5267.60,1225450800,5267.60
2012-05-17,5405.30,5413.30,5309.80,5338.40,894671500,5338.40
2012-05-16,5437.60,5448.40,5354.00,5405.30,1026459500,5405.30
2012-05-15,5465.50,5507.70,5411.80,5437.60,876368200,5437.60
2012-05-14,5575.50,5575.70,5436.70,5465.50,883929300,5465.50
2012-05-11,5544.00,5585.50,5499.30,5575.50,772576800,5575.50
2012-05-10,5530.10,5566.10,5490.50,5544.00,847647600,5544.00
2012-05-09,5554.60,5571.70,5464.40,5530.10,1006218000,5530.10
2012-05-08,5655.10,5668.10,5550.10,5554.60,1052975800,5554.60
2012-05-07,5655.10,5655.10,5655.10,5655.10,000,5655.10
2012-05-04,5766.60,5766.60,5639.80,5655.10,1013188100,5655.10
2012-05-03,5758.10,5800.80,5745.20,5766.60,788566200,5766.60
2012-05-02,5812.20,5819.90,5736.70,5758.10,962324800,5758.10
2012-05-01,5737.80,5819.00,5732.20,5812.20,653605400,5812.20
2012-04-30,5777.10,5793.00,5728.90,5737.80,784967000,5737.80
2012-04-27,5748.70,5789.00,5708.00,5777.10,812249700,5777.10
2012-04-26,5718.90,5761.10,5691.70,5748.70,879956100,5748.70
2012-04-25,5709.50,5745.00,5703.20,5718.90,859133200,5718.90
2012-04-24,5665.60,5714.20,5658.50,5709.50,807899200,5709.50
2012-04-23,5772.20,5772.20,5637.70,5665.60,777185500,5665.60
2012-04-20,5744.60,5775.70,5724.20,5772.20,847833800,5772.20
2012-04-19,5745.30,5792.10,5738.10,5744.60,958392100,5744.60
2012-04-18,5767.00,5783.90,5730.90,5745.30,873962600,5745.30
